role,p,decay,ks,n,val,se,mor
Detector,0.2,NA,7,50,0.7493721144776011,0.02656084675157734,-6
Detector,0.2,NA,8,50,0.6775037284320147,0.0308994952680409,-6
Detector,0.2,NA,9,50,0.5822841340257939,0.034397820493176245,-6
Detector,0.2,NA,10,50,0.4716607273094136,0.03524176153497048,-6
Liar,0.2,NA,0,50,0.8896456313344127,0.060421954759377276,-6
Liar,0.2,NA,1,50,1.866323289481018,0.02650695904582062,-6
Liar,0.2,NA,2,50,2.579931054818112,0.04415390846282822,-6
Liar,0.2,NA,3,50,3.131347573964991,0.10091946982784467,-6
Liar,0.2,NA,4,50,3.5729414654912546,0.14377527775989926,-6
Liar,0.2,NA,5,50,3.8420181756682514,0.17010065243591654,-6
Liar,0.2,NA,6,50,3.922557408695406,0.18428871392264523,-6
Liar,0.2,NA,7,50,3.8678614657089176,0.18645552587617545,-6
Liar,0.2,NA,8,50,3.7497816983356107,0.18056644361607463,-6
Liar,0.2,NA,9,50,3.6356967082661975,0.17267274293617188,-6
Liar,0.2,NA,10,50,3.571874745884163,0.167569396525195,-6
Detector2,0.2,NA,0,50,0.5258447257710841,0.035260876685616054,-6
Detector2,0.2,NA,1,50,0.46956430405700944,0.03522433598989284,-6
Detector2,0.2,NA,2,50,0.46230047500013427,0.03515434336489625,-6
Detector2,0.2,NA,3,50,0.5337081234361108,0.03519465079896627,-6
Detector2,0.2,NA,4,50,0.641820595773144,0.03251091981168572,-6
Detector2,0.2,NA,5,50,0.7913024905802133,0.02335472709010792,-6
Detector2,0.2,NA,6,50,0.8979700590544509,0.012957000913278735,-6
Detector2,0.2,NA,7,50,0.9431883010928681,0.007577940305494089,-6
Detector2,0.2,NA,8,50,0.9658735529079037,0.004661507084638007,-6
Detector2,0.2,NA,9,50,0.9790012276530352,0.0029073153381994807,-6
Detector2,0.2,NA,10,50,0.9863166234431974,0.0019086426720672117,-6
Detector,0.2,NA,0,50,0.7408979952748533,0.027148396957872207,-5
Detector,0.2,NA,1,50,0.6592156057199625,0.031770362959644506,-5
Detector,0.2,NA,2,50,0.6323030162076887,0.03287988718086009,-5
Detector,0.2,NA,3,50,0.654707969907829,0.0319704816955161,-5
Detector,0.2,NA,4,50,0.7120216672640717,0.028997998331523316,-5
Detector,0.2,NA,5,50,0.7761046849949196,0.024574252085699282,-5
Detector,0.2,NA,6,50,0.7835324275212097,0.023986386081508104,-5
Detector,0.2,NA,7,50,0.7429660421198004,0.027006883183355965,-5
Detector,0.2,NA,8,50,0.6731133724999095,0.031117189951493224,-5
Detector,0.2,NA,9,50,0.5796174402991029,0.03445887801999973,-5
Detector,0.2,NA,10,50,0.47027180427668613,0.03523035572661479,-5
Liar,0.2,NA,0,50,0.7789257471247709,0.061561858439106984,-5
Liar,0.2,NA,1,50,1.7392254373220881,0.025458404616129485,-5
Liar,0.2,NA,2,50,2.4803581999986313,0.04027057832134973,-5
Liar,0.2,NA,3,50,3.0638713921043776,0.0969885692054937,-5
Liar,0.2,NA,4,50,3.5375925320412227,0.1423173468112588,-5
Liar,0.2,NA,5,50,3.8481555013524518,0.17129021574185124,-5
Liar,0.2,NA,6,50,3.958727813195758,0.1878984946607913,-5
Liar,0.2,NA,7,50,3.9143857958091233,0.19154382842290327,-5
Liar,0.2,NA,8,50,3.790638397170053,0.18568669927133702,-5
Liar,0.2,NA,9,50,3.66280986993021,0.17693890433266543,-5
Liar,0.2,NA,10,50,3.5842994836741164,0.17080910494014917,-5
Detector2,0.2,NA,0,50,0.4863930020605526,0.035329154839652176,-5
Detector2,0.2,NA,1,50,0.4131403358389563,0.034288371317127364,-5
Detector2,0.2,NA,2,50,0.4014060246691143,0.03398061430343753,-5
Detector2,0.2,NA,3,50,0.4723926810528378,0.035247552784364575,-5
Detector2,0.2,NA,4,50,0.5879135377325315,0.034262323078957324,-5
Detector2,0.2,NA,5,50,0.7452738538853096,0.02684753443909688,-5
Detector2,0.2,NA,6,50,0.8658713984146644,0.01642441041609224,-5
Detector2,0.2,NA,7,50,0.9216098236850387,0.010217008024027275,-5
Detector2,0.2,NA,8,50,0.9513812170168467,0.006541444397799856,-5
Detector2,0.2,NA,9,50,0.9694790517836592,0.004184575897669123,-5
Detector2,0.2,NA,10,50,0.9799101328725083,0.0027840582059271554,-5
Detector,0.2,NA,0,50,0.6725139855988355,0.031146487437616836,-4
Detector,0.2,NA,1,50,0.6002697434008689,0.03393348571140655,-4
Detector,0.2,NA,2,50,0.5659880838742395,0.0347395300571726,-4
Detector,0.2,NA,3,50,0.5887751890855096,0.03424079251461126,-4
Detector,0.2,NA,4,50,0.6315192450585214,0.032909129762375366,-4
Detector,0.2,NA,5,50,0.6839666638629507,0.030569112379946216,-4
Detector,0.2,NA,6,50,0.6973768933867868,0.029845897051481426,-4
Detector,0.2,NA,7,50,0.6652747574270416,0.03149230929220638,-4
Detector,0.2,NA,8,50,0.6058226839791667,0.03377164042391573,-4
Detector,0.2,NA,9,50,0.5248021835094455,0.035268343951487514,-4
Detector,0.2,NA,10,50,0.4289435726066196,0.034641300386775216,-4
Liar,0.2,NA,0,50,0.6821507271108175,0.05561956056073684,-4
Liar,0.2,NA,1,50,1.6467337844559298,0.02484868418774545,-4
Liar,0.2,NA,2,50,2.3982533923265326,0.03365448425900945,-4
