role,p,mor,ks,n,val,se
Detector,0.2,-7,10,100,0.8321572295111509,0.013967157488347662
Liar,0.2,-7,0,100,5.381280691891227,0.08786863107065036
Liar,0.2,-7,1,100,5.329590190296812,0.08969581755171833
Liar,0.2,-7,2,100,5.2341962354169125,0.09290714380677603
Liar,0.2,-7,3,100,5.109205263713119,0.09706971083258119
Liar,0.2,-7,4,100,5.050424423157493,0.09930476012035115
Liar,0.2,-7,5,100,5.187067695038568,0.09572896046965615
Liar,0.2,-7,6,100,5.5880885886670715,0.08411971055473869
Liar,0.2,-7,7,100,6.252592038320111,0.06411018196195649
Liar,0.2,-7,8,100,7.129012686766642,0.03640437084060337
Liar,0.2,-7,9,100,8.131983743470665,0.0022852092346153726
Liar,0.2,-7,10,100,9.171745397111287,0.04159434036903431
Detector2,0.2,-7,0,100,0.9603295259736538,0.0038096727516871154
Detector2,0.2,-7,1,100,0.8624965910412654,0.011859622148346158
Detector2,0.2,-7,2,100,0.7857742317145477,0.016833308848795997
Detector2,0.2,-7,3,100,0.7877868586377769,0.016717872399540024
Detector2,0.2,-7,4,100,0.8299312234723146,0.01411453877780616
Detector2,0.2,-7,5,100,0.8744189444702085,0.010981045402181491
Detector2,0.2,-7,6,100,0.8922135183974341,0.00961685559863056
Detector2,0.2,-7,7,100,0.8823856187510115,0.010378123857240608
Detector2,0.2,-7,8,100,0.8633559774160428,0.011797243367603223
Detector2,0.2,-7,9,100,0.8457831448380098,0.013043401674593596
Detector2,0.2,-7,10,100,0.8320526888728148,0.013974101181233364
Detector,0.2,-6,0,100,0.46478830563193424,0.024876013657972994
Detector,0.2,-6,1,100,0.5277624588422845,0.024922924587903048
Detector,0.2,-6,2,100,0.578998426407276,0.02437592486251742
Detector,0.2,-6,3,100,0.6621934657399837,0.02236932796712527
Detector,0.2,-6,4,100,0.7588795658598144,0.018298137038023403
Detector,0.2,-6,5,100,0.836477274429739,0.013678304379233414
Detector,0.2,-6,6,100,0.8811589628319154,0.010471784505289853
Detector,0.2,-6,7,100,0.9041848225295271,0.008663462923677465
Detector,0.2,-6,8,100,0.918210375874637,0.007510008151079479
Detector,0.2,-6,9,100,0.928227042206125,0.006662160032339368
Detector,0.2,-6,10,100,0.9357045871103993,0.0060161512770956485
Liar,0.2,-6,0,100,5.341111033277852,0.08900232506407584
Liar,0.2,-6,1,100,5.280483146419918,0.0910714226843435
Liar,0.2,-6,2,100,5.178546125730804,0.09445443096811869
Liar,0.2,-6,3,100,5.050559635344137,0.09866380133560265
Liar,0.2,-6,4,100,5.007882420570382,0.10034957567440159
